Name,Typing,Size,Abilities,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total Base Stats
Crobat,"POISON,FLYING","1.8 m, 75 kg","Inner Focus,Infiltrator",85,90,80,70,80,130,535
Chinchou,"WATER,ELECTRIC","0.5 m, 12 kg","Volt Absorb,Illuminate,Water Absorb",75,38,38,56,56,67,330
Lanturn,"WATER,ELECTRIC","1.2 m, 22.5 kg","Volt Absorb,Illuminate,Water Absorb",125,58,58,76,76,67,460
Pichu,ELECTRIC,"0.3 m, 2 kg","Static,Lightning Rod",20,40,15,35,35,60,205
Pichu-Spiky-eared,ELECTRIC,"0.3 m, 2 kg",Static,20,40,15,35,35,60,205
Cleffa,FAIRY,"0.3 m, 3 kg","Cute Charm,Magic Guard,Friend Guard",50,25,28,45,55,15,218
Igglybuff,"NORMAL,FAIRY","0.3 m, 1 kg","Cute Charm,Competitive,Friend Guard",90,30,15,40,20,15,210
Togepi,FAIRY,"0.3 m, 1.5 kg","Hustle,Serene Grace,Super Luck",35,20,65,40,65,20,245
Togetic,"FAIRY,FLYING","0.6 m, 3.2 kg","Hustle,Serene Grace,Super Luck",55,40,85,80,105,40,405
Natu,"PSYCHIC,FLYING","0.2 m, 2 kg","Synchronize,Early Bird,Magic Bounce",40,50,45,70,45,70,320
Xatu,"PSYCHIC,FLYING","1.5 m, 15 kg","Synchronize,Early Bird,Magic Bounce",65,75,70,95,70,95,470
Mareep,ELECTRIC,"0.6 m, 7.8 kg","Static,Plus",55,40,40,65,45,35,280
Flaaffy,ELECTRIC,"0.8 m, 13.3 kg","Static,Plus",70,55,55,80,60,45,365
Ampharos,ELECTRIC,"1.4 m, 61.5 kg","Static,Plus",90,75,85,115,90,55,510
Ampharos-Mega,"ELECTRIC,DRAGON","1.4 m, 61.5 kg",Mold Breaker,90,95,105,165,110,45,610
Bellossom,GRASS,"0.4 m, 5.8 kg","Chlorophyll,Healer",75,80,95,90,100,50,490
Marill,"WATER,FAIRY","0.4 m, 8.5 kg","Thick Fat,Huge Power,Sap Sipper",70,20,50,20,50,40,250
Azumarill,"WATER,FAIRY","0.8 m, 28.5 kg","Thick Fat,Huge Power,Sap Sipper",100,50,80,60,80,50,420
Sudowoodo,ROCK,"1.2 m, 38 kg","Sturdy,Rock Head,Rattled",70,100,115,30,65,30,410
Politoed,WATER,"1.1 m, 33.9 kg","Water Absorb,Damp,Drizzle",90,75,75,90,100,70,500
Hoppip,"GRASS,FLYING","0.4 m, 0.5 kg","Chlorophyll,Leaf Guard,Infiltrator",35,35,40,35,55,50,250
Skiploom,"GRASS,FLYING","0.6 m, 1 kg","Chlorophyll,Leaf Guard,Infiltrator",55,45,50,45,65,80,340
Jumpluff,"GRASS,FLYING","0.8 m, 3 kg","Chlorophyll,Leaf Guard,Infiltrator",75,55,70,55,95,110,460
Aipom,NORMAL,"0.8 m, 11.5 kg","Run Away,Pickup,Skill Link",55,70,55,40,55,85,360
Sunkern,GRASS,"0.3 m, 1.8 kg","Chlorophyll,Solar Power,Early Bird",30,30,30,30,30,30,180
Sunflora,GRASS,"0.8 m, 8.5 kg","Chlorophyll,Solar Power,Early Bird",75,75,55,105,85,30,425
Yanma,"BUG,FLYING","1.2 m, 38 kg","Speed Boost,Compound Eyes,Frisk",65,65,45,75,45,95,390
Wooper,"WATER,GROUND","0.4 m, 8.5 kg","Damp,Water Absorb,Unaware",55,45,45,25,25,15,210
Quagsire,"WATER,GROUND","1.4 m, 75 kg","Damp,Water Absorb,Unaware",95,85,85,65,65,35,430
Espeon,PSYCHIC,"0.9 m, 26.5 kg","Synchronize,Magic Bounce",65,65,60,130,95,110,525
Umbreon,DARK,"1 m, 27 kg","Synchronize,Inner Focus",95,65,110,60,130,65,525
Murkrow,"DARK,FLYING","0.5 m, 2.1 kg","Insomnia,Super Luck,Prankster",60,85,42,85,42,91,405
Slowking,"WATER,PSYCHIC","2 m, 79.5 kg","Oblivious,Own Tempo,Regenerator",95,75,80,100,110,30,490
Slowking-Galar,"POISON,PSYCHIC","1.8 m, 79.5 kg","Curious Medicine,Own Tempo,Regenerator",95,65,80,110,110,30,490
Misdreavus,GHOST,"0.7 m, 1 kg",Levitate,60,60,60,85,85,85,435
Unown,PSYCHIC,"0.5 m, 5 kg",Levitate,48,72,48,72,48,48,336
Wobbuffet,PSYCHIC,"1.3 m, 28.5 kg","Shadow Tag,Telepathy",190,33,58,33,58,33,405
Girafarig,"NORMAL,PSYCHIC","1.5 m, 41.5 kg","Inner Focus,Early Bird,Sap Sipper",70,80,65,90,65,85,455
Pineco,BUG,"0.6 m, 7.2 kg","Sturdy,Overcoat",50,65,90,35,35,15,290
Forretress,"BUG,STEEL","1.2 m, 125.8 kg","Sturdy,Overcoat",75,90,140,60,60,40,465
Dunsparce,NORMAL,"1.5 m, 14 kg","Serene Grace,Run Away,Rattled",100,70,70,65,65,45,415
Gligar,"GROUND,FLYING","1.1 m, 64.8 kg","Hyper Cutter,Sand Veil,Immunity",65,75,105,35,65,85,430
Steelix,"STEEL,GROUND","9.2 m, 400 kg","Rock Head,Sturdy,Sheer Force",75,85,200,55,65,30,510
Steelix-Mega,"STEEL,GROUND","10.5 m, 740 kg",Sand Force,75,125,230,55,95,30,610
Snubbull,FAIRY,"0.6 m, 7.8 kg","Intimidate,Run Away,Rattled",60,80,50,40,40,30,300
Granbull,FAIRY,"1.4 m, 48.7 kg","Intimidate,Quick Feet,Rattled",90,120,75,60,60,45,450
Qwilfish,"WATER,POISON","0.5 m, 3.9 kg","Poison Point,Swift Swim,Intimidate",65,95,85,55,55,85,440
Scizor,"BUG,STEEL","1.8 m, 118 kg","Swarm,Technician,Light Metal",70,130,100,55,80,65,500
Scizor-Mega,"BUG,STEEL","2 m, 125 kg",Technician,70,150,140,65,100,75,600
Shuckle,"BUG,ROCK","0.6 m, 20.5 kg","Sturdy,Gluttony,Contrary",20,10,230,10,230,5,505
Heracross,"BUG,FIGHTING","1.5 m, 54 kg","Swarm,Guts,Moxie",80,125,75,40,95,85,500
Heracross-Mega,"BUG,FIGHTING","1.7 m, 62.5 kg",Skill Link,80,185,115,40,105,75,600
Sneasel,"DARK,ICE","0.9 m, 28 kg","Inner Focus,Keen Eye,Pickpocket",55,95,55,35,75,115,430
Teddiursa,NORMAL,"0.6 m, 8.8 kg","Pickup,Quick Feet,Honey Gather",60,80,50,50,50,40,330
Ursaring,NORMAL,"1.8 m, 125.8 kg","Guts,Quick Feet,Unnerve",90,130,75,75,75,55,500
Slugma,FIRE,"0.7 m, 35 kg","Magma Armor,Flame Body,Weak Armor",40,40,40,70,40,20,250
Magcargo,"FIRE,ROCK","0.8 m, 55 kg","Magma Armor,Flame Body,Weak Armor",60,50,120,90,80,30,430
Swinub,"ICE,GROUND","0.4 m, 6.5 kg","Oblivious,Snow Cloak,Thick Fat",50,50,40,30,30,50,250
Piloswine,"ICE,GROUND","1.1 m, 55.8 kg","Oblivious,Snow Cloak,Thick Fat",100,100,80,60,60,50,450
Corsola,"WATER,ROCK","0.6 m, 5 kg","Hustle,Natural Cure,Regenerator",65,55,95,65,95,35,410
Corsola-Galar,GHOST,"0.6 m, 0.5 kg","Weak Armor,Cursed Body",60,55,100,65,100,30,410
Remoraid,WATER,"0.6 m, 12 kg","Hustle,Sniper,Moody",35,65,35,65,35,65,300
Octillery,WATER,"0.9 m, 28.5 kg","Suction Cups,Sniper,Moody",75,105,75,105,75,45,480
Delibird,"ICE,FLYING","0.9 m, 16 kg","Vital Spirit,Hustle,Insomnia",45,55,45,65,45,75,330
Mantine,"WATER,FLYING","2.1 m, 220 kg","Swift Swim,Water Absorb,Water Veil",85,40,70,80,140,70,485
Skarmory,"STEEL,FLYING","1.7 m, 50.5 kg","Keen Eye,Sturdy,Weak Armor",65,80,140,40,70,70,465
Houndour,"DARK,FIRE","0.6 m, 10.8 kg","Early Bird,Flash Fire,Unnerve",45,60,30,80,50,65,330
Houndoom,"DARK,FIRE","1.4 m, 35 kg","Early Bird,Flash Fire,Unnerve",75,90,50,110,80,95,500
Houndoom-Mega,"DARK,FIRE","1.9 m, 49.5 kg",Solar Power,75,90,90,140,90,115,600
Kingdra,"WATER,DRAGON","1.8 m, 152 kg","Swift Swim,Sniper,Damp",75,95,95,95,95,85,540
Phanpy,GROUND,"0.5 m, 33.5 kg","Pickup,Sand Veil",90,60,60,40,40,40,330
Donphan,GROUND,"1.1 m, 120 kg","Sturdy,Sand Veil",90,120,120,60,60,50,500
Porygon2,NORMAL,"0.6 m, 32.5 kg","Trace,Download,Analytic",85,80,90,105,95,60,515
Stantler,NORMAL,"1.4 m, 71.2 kg","Intimidate,Frisk,Sap Sipper",73,95,62,85,65,85,465
Smeargle,NORMAL,"1.2 m, 58 kg","Own Tempo,Technician,Moody",55,20,35,20,45,75,250
Tyrogue,FIGHTING,"0.7 m, 21 kg","Guts,Steadfast,Vital Spirit",35,35,35,35,35,35,210
Hitmontop,FIGHTING,"1.4 m, 48 kg","Intimidate,Technician,Steadfast",50,95,95,35,110,70,455
Smoochum,"ICE,PSYCHIC","0.4 m, 6 kg","Oblivious,Forewarn,Hydration",45,30,15,85,65,65,305
Elekid,ELECTRIC,"0.6 m, 23.5 kg","Static,Vital Spirit",45,63,37,65,55,95,360
Magby,FIRE,"0.7 m, 21.4 kg","Flame Body,Vital Spirit",45,75,37,70,55,83,365
Miltank,NORMAL,"1.2 m, 75.5 kg","Thick Fat,Scrappy,Sap Sipper",95,80,105,40,70,100,490
Blissey,NORMAL,"1.5 m, 46.8 kg","Natural Cure,Serene Grace,Healer",255,10,10,75,135,55,540
Raikou,ELECTRIC,"1.9 m, 178 kg","Pressure,Inner Focus",90,85,75,115,100,115,580
Entei,FIRE,"2.1 m, 198 kg","Pressure,Inner Focus",115,115,85,90,75,100,580
Suicune,WATER,"2 m, 187 kg","Pressure,Inner Focus",100,75,115,90,115,85,580
Larvitar,"ROCK,GROUND","0.6 m, 72 kg","Guts,Sand Veil",50,64,50,45,50,41,300
Pupitar,"ROCK,GROUND","1.2 m, 152 kg",Shed Skin,70,84,70,65,70,51,410
Tyranitar,"ROCK,DARK","2 m, 202 kg","Sand Stream,Unnerve",100,134,110,95,100,61,600
Tyranitar-Mega,"ROCK,DARK","2.5 m, 255 kg",Sand Stream,100,164,150,95,120,71,700
Lugia,"PSYCHIC,FLYING","5.2 m, 216 kg","Pressure,Multiscale",106,90,130,90,154,110,680
Ho-Oh,"FIRE,FLYING","3.8 m, 199 kg","Pressure,Regenerator",106,130,90,110,154,90,680
Celebi,"PSYCHIC,GRASS","0.6 m, 5 kg",Natural Cure,100,100,100,100,100,100,600
Treecko,GRASS,"0.5 m, 5 kg","Overgrow,Unburden",40,45,35,65,55,70,310
Grovyle,GRASS,"0.9 m, 21.6 kg","Overgrow,Unburden",50,65,45,85,65,95,405
Sceptile,GRASS,"1.7 m, 52.2 kg","Overgrow,Unburden",70,85,65,105,85,120,530
Sceptile-Mega,"GRASS,DRAGON","1.9 m, 55.2 kg",Lightning Rod,70,110,75,145,85,145,630
Torchic,FIRE,"0.4 m, 2.5 kg","Blaze,Speed Boost",45,60,40,70,50,45,310
Combusken,"FIRE,FIGHTING","0.9 m, 19.5 kg","Blaze,Speed Boost",60,85,60,85,60,55,405
Blaziken,"FIRE,FIGHTING","1.9 m, 52 kg","Blaze,Speed Boost",80,120,70,110,70,80,530
Blaziken-Mega,"FIRE,FIGHTING","1.9 m, 52 kg",Speed Boost,80,160,80,130,80,100,630
Mudkip,WATER,"0.4 m, 7.6 kg","Torrent,Damp",50,70,50,50,50,40,310
Marshtomp,"WATER,GROUND","0.7 m, 28 kg","Torrent,Damp",70,85,70,60,70,50,405
Swampert,"WATER,GROUND","1.5 m, 81.9 kg","Torrent,Damp",100,110,90,85,90,60,535
Swampert-Mega,"WATER,GROUND","1.9 m, 102 kg",Swift Swim,100,150,110,95,110,70,635
Poochyena,DARK,"0.5 m, 13.6 kg","Run Away,Quick Feet,Rattled",35,55,35,30,30,35,220
Mightyena,DARK,"1 m, 37 kg","Intimidate,Quick Feet,Moxie",70,90,70,60,60,70,420
Zigzagoon,NORMAL,"0.4 m, 17.5 kg","Pickup,Gluttony,Quick Feet",38,30,41,30,41,60,240
Zigzagoon-Galar,"DARK,NORMAL","0.4 m, 17.5 kg","Pickup,Gluttony,Quick Feet",38,30,41,30,41,60,240
Linoone,NORMAL,"0.5 m, 32.5 kg","Pickup,Gluttony,Quick Feet",78,70,61,50,61,100,420
Linoone-Galar,"DARK,NORMAL","0.5 m, 32.5 kg","Pickup,Gluttony,Quick Feet",78,70,61,50,61,100,420
Wurmple,BUG,"0.3 m, 3.6 kg","Shield Dust,Run Away",45,45,35,20,30,20,195
Silcoon,BUG,"0.6 m, 10 kg",Shed Skin,50,35,55,25,25,15,205
Beautifly,"BUG,FLYING","1 m, 28.4 kg","Swarm,Rivalry",60,70,50,100,50,65,395
Cascoon,BUG,"0.7 m, 11.5 kg",Shed Skin,50,35,55,25,25,15,205
Dustox,"BUG,POISON","1.2 m, 31.6 kg","Shield Dust,Compound Eyes",60,50,70,50,90,65,385
Lotad,"WATER,GRASS","0.5 m, 2.6 kg","Swift Swim,Rain Dish,Own Tempo",40,30,30,40,50,30,220
Lombre,"WATER,GRASS","1.2 m, 32.5 kg","Swift Swim,Rain Dish,Own Tempo",60,50,50,60,70,50,340
Ludicolo,"WATER,GRASS","1.5 m, 55 kg","Swift Swim,Rain Dish,Own Tempo",80,70,70,90,100,70,480
Seedot,GRASS,"0.5 m, 4 kg","Chlorophyll,Early Bird,Pickpocket",40,40,50,30,30,30,220
Nuzleaf,"GRASS,DARK","1 m, 28 kg","Chlorophyll,Early Bird,Pickpocket",70,70,40,60,40,60,340
Shiftry,"GRASS,DARK","1.3 m, 59.6 kg","Chlorophyll,Early Bird,Pickpocket",90,100,60,90,60,80,480
Taillow,"NORMAL,FLYING","0.3 m, 2.3 kg","Guts,Scrappy",40,55,30,30,30,85,270
Swellow,"NORMAL,FLYING","0.7 m, 19.8 kg","Guts,Scrappy",60,85,60,75,50,125,455
Wingull,"WATER,FLYING","0.6 m, 9.5 kg","Keen Eye,Hydration,Rain Dish",40,30,30,55,30,85,270
Pelipper,"WATER,FLYING","1.2 m, 28 kg","Keen Eye,Drizzle,Rain Dish",60,50,100,95,70,65,440
Ralts,"PSYCHIC,FAIRY","0.4 m, 6.6 kg","Synchronize,Trace,Telepathy",28,25,25,45,35,40,198
Kirlia,"PSYCHIC,FAIRY","0.8 m, 20.2 kg","Synchronize,Trace,Telepathy",38,35,35,65,55,50,278
Gardevoir,"PSYCHIC,FAIRY","1.6 m, 48.4 kg","Synchronize,Trace,Telepathy",68,65,65,125,115,80,518
Gardevoir-Mega,"PSYCHIC,FAIRY","1.6 m, 48.4 kg",Pixilate,68,85,65,165,135,100,618
Surskit,"BUG,WATER","0.5 m, 1.7 kg","Swift Swim,Rain Dish",40,30,32,50,52,65,269
Masquerain,"BUG,FLYING","0.8 m, 3.6 kg","Intimidate,Unnerve",70,60,62,100,82,80,454
Shroomish,GRASS,"0.4 m, 4.5 kg","Effect Spore,Poison Heal,Quick Feet",60,40,60,40,60,35,295
Breloom,"GRASS,FIGHTING","1.2 m, 39.2 kg","Effect Spore,Poison Heal,Technician",60,130,80,60,60,70,460
Slakoth,NORMAL,"0.8 m, 24 kg",Truant,60,60,60,35,35,30,280
Vigoroth,NORMAL,"1.4 m, 46.5 kg",Vital Spirit,80,80,80,55,55,90,440
Slaking,NORMAL,"2 m, 130.5 kg",Truant,150,160,100,95,65,100,670
Nincada,"BUG,GROUND","0.5 m, 5.5 kg","Compound Eyes,Run Away",31,45,90,30,30,40,266
Ninjask,"BUG,FLYING","0.8 m, 12 kg","Speed Boost,Infiltrator",61,90,45,50,50,160,456
Shedinja,"BUG,GHOST","0.8 m, 1.2 kg",Wonder Guard,1,90,45,30,30,40,236
Whismur,NORMAL,"0.6 m, 16.3 kg","Soundproof,Rattled",64,51,23,51,23,28,240
Loudred,NORMAL,"1 m, 40.5 kg","Soundproof,Scrappy",84,71,43,71,43,48,360
Exploud,NORMAL,"1.5 m, 84 kg","Soundproof,Scrappy",104,91,63,91,73,68,490
Makuhita,FIGHTING,"1 m, 86.4 kg","Thick Fat,Guts,Sheer Force",72,60,30,20,30,25,237
Hariyama,FIGHTING,"2.3 m, 253.8 kg","Thick Fat,Guts,Sheer Force",144,120,60,40,60,50,474
Azurill,"NORMAL,FAIRY","0.2 m, 2 kg","Thick Fat,Huge Power,Sap Sipper",50,20,40,20,40,20,190
Nosepass,ROCK,"1 m, 97 kg","Sturdy,Magnet Pull,Sand Force",30,45,135,45,90,30,375
Skitty,NORMAL,"0.6 m, 11 kg","Cute Charm,Normalize,Wonder Skin",50,45,45,35,35,50,260
Delcatty,NORMAL,"1.1 m, 32.6 kg","Cute Charm,Normalize,Wonder Skin",70,65,65,55,55,90,400
Sableye,"DARK,GHOST","0.5 m, 11 kg","Keen Eye,Stall,Prankster",50,75,75,65,65,50,380
Sableye-Mega,"DARK,GHOST","0.5 m, 161 kg",Magic Bounce,50,85,125,85,115,20,480
Mawile,"STEEL,FAIRY","0.6 m, 11.5 kg","Hyper Cutter,Intimidate,Sheer Force",50,85,85,55,55,50,380
Mawile-Mega,"STEEL,FAIRY","1 m, 23.5 kg",Huge Power,50,105,125,55,95,50,480
Aron,"STEEL,ROCK","0.4 m, 60 kg","Sturdy,Rock Head,Heavy Metal",50,70,100,40,40,30,330
Lairon,"STEEL,ROCK","0.9 m, 120 kg","Sturdy,Rock Head,Heavy Metal",60,90,140,50,50,40,430
Aggron,"STEEL,ROCK","2.1 m, 360 kg","Sturdy,Rock Head,Heavy Metal",70,110,180,60,60,50,530
Aggron-Mega,STEEL,"2.2 m, 395 kg",Filter,70,140,230,60,80,50,630
Meditite,"FIGHTING,PSYCHIC","0.6 m, 11.2 kg","Pure Power,Telepathy",30,40,55,40,55,60,280
Medicham,"FIGHTING,PSYCHIC","1.3 m, 31.5 kg","Pure Power,Telepathy",60,60,75,60,75,80,410
Medicham-Mega,"FIGHTING,PSYCHIC","1.3 m, 31.5 kg",Pure Power,60,100,85,80,85,100,510
Electrike,ELECTRIC,"0.6 m, 15.2 kg","Static,Lightning Rod,Minus",40,45,40,65,40,65,295
Manectric,ELECTRIC,"1.5 m, 40.2 kg","Static,Lightning Rod,Minus",70,75,60,105,60,105,475
Manectric-Mega,ELECTRIC,"1.8 m, 44 kg",Intimidate,70,75,80,135,80,135,575
Plusle,ELECTRIC,"0.4 m, 4.2 kg","Plus,Lightning Rod",60,50,40,85,75,95,405
Minun,ELECTRIC,"0.4 m, 4.2 kg","Minus,Volt Absorb",60,40,50,75,85,95,405
Volbeat,BUG,"0.7 m, 17.7 kg","Illuminate,Swarm,Prankster",65,73,75,47,85,85,430
Illumise,BUG,"0.6 m, 17.7 kg","Oblivious,Tinted Lens,Prankster",65,47,75,73,85,85,430
Roselia,"GRASS,POISON","0.3 m, 2 kg","Natural Cure,Poison Point,Leaf Guard",50,60,45,100,80,65,400
Gulpin,POISON,"0.4 m, 10.3 kg","Liquid Ooze,Sticky Hold,Gluttony",70,43,53,43,53,40,302
Swalot,POISON,"1.7 m, 80 kg","Liquid Ooze,Sticky Hold,Gluttony",100,73,83,73,83,55,467
Carvanha,"WATER,DARK","0.8 m, 20.8 kg","Rough Skin,Speed Boost",45,90,20,65,20,65,305
Sharpedo,"WATER,DARK","1.8 m, 88.8 kg","Rough Skin,Speed Boost",70,120,40,95,40,95,460
Sharpedo-Mega,"WATER,DARK","2.5 m, 130.3 kg",Strong Jaw,70,140,70,110,65,105,560
Wailmer,WATER,"2 m, 130 kg","Water Veil,Oblivious,Pressure",130,70,35,70,35,60,400
Wailord,WATER,"14.5 m, 398 kg","Water Veil,Oblivious,Pressure",170,90,45,90,45,60,500
Numel,"FIRE,GROUND","0.7 m, 24 kg","Oblivious,Simple,Own Tempo",60,60,40,65,45,35,305
Camerupt,"FIRE,GROUND","1.9 m, 220 kg","Magma Armor,Solid Rock,Anger Point",70,100,70,105,75,40,460
Camerupt-Mega,"FIRE,GROUND","2.5 m, 320.5 kg",Sheer Force,70,120,100,145,105,20,560
Torkoal,FIRE,"0.5 m, 80.4 kg","White Smoke,Drought,Shell Armor",70,85,140,85,70,20,470
Spoink,PSYCHIC,"0.7 m, 30.6 kg","Thick Fat,Own Tempo,Gluttony",60,25,35,70,80,60,330
Grumpig,PSYCHIC,"0.9 m, 71.5 kg","Thick Fat,Own Tempo,Gluttony",80,45,65,90,110,80,470
Spinda,NORMAL,"1.1 m, 5 kg","Own Tempo,Tangled Feet,Contrary",60,60,60,60,60,60,360
Trapinch,GROUND,"0.7 m, 15 kg","Hyper Cutter,Arena Trap,Sheer Force",45,100,45,45,45,10,290
Vibrava,"GROUND,DRAGON","1.1 m, 15.3 kg",Levitate,50,70,50,50,50,70,340
Flygon,"GROUND,DRAGON","2 m, 82 kg",Levitate,80,100,80,80,80,100,520
Cacnea,GRASS,"0.4 m, 51.3 kg","Sand Veil,Water Absorb",50,85,40,85,40,35,335
Cacturne,"GRASS,DARK","1.3 m, 77.4 kg","Sand Veil,Water Absorb",70,115,60,115,60,55,475
Swablu,"NORMAL,FLYING","0.4 m, 1.2 kg","Natural Cure,Cloud Nine",45,40,60,40,75,50,310
Altaria,"DRAGON,FLYING","1.1 m, 20.6 kg","Natural Cure,Cloud Nine",75,70,90,70,105,80,490
Altaria-Mega,"DRAGON,FAIRY","1.5 m, 20.6 kg",Pixilate,75,110,110,110,105,80,590
Zangoose,NORMAL,"1.3 m, 40.3 kg","Immunity,Toxic Boost",73,115,60,60,60,90,458
Seviper,POISON,"2.7 m, 52.5 kg","Shed Skin,Infiltrator",73,100,60,100,60,65,458
Lunatone,"ROCK,PSYCHIC","1 m, 168 kg",Levitate,90,55,65,95,85,70,460
Solrock,"ROCK,PSYCHIC","1.2 m, 154 kg",Levitate,90,95,85,55,65,70,460
Barboach,"WATER,GROUND","0.4 m, 1.9 kg","Oblivious,Anticipation,Hydration",50,48,43,46,41,60,288
Whiscash,"WATER,GROUND","0.9 m, 23.6 kg","Oblivious,Anticipation,Hydration",110,78,73,76,71,60,468
Corphish,WATER,"0.6 m, 11.5 kg","Hyper Cutter,Shell Armor,Adaptability",43,80,65,50,35,35,308
Crawdaunt,"WATER,DARK","1.1 m, 32.8 kg","Hyper Cutter,Shell Armor,Adaptability",63,120,85,90,55,55,468
Baltoy,"GROUND,PSYCHIC","0.5 m, 21.5 kg",Levitate,40,40,55,40,70,55,300
Claydol,"GROUND,PSYCHIC","1.5 m, 108 kg",Levitate,60,70,105,70,120,75,500
Lileep,"ROCK,GRASS","1 m, 23.8 kg","Suction Cups,Storm Drain",66,41,77,61,87,23,355
Cradily,"ROCK,GRASS","1.5 m, 60.4 kg","Suction Cups,Storm Drain",86,81,97,81,107,43,495
Anorith,"ROCK,BUG","0.7 m, 12.5 kg","Battle Armor,Swift Swim",45,95,50,40,50,75,355
Armaldo,"ROCK,BUG","1.5 m, 68.2 kg","Battle Armor,Swift Swim",75,125,100,70,80,45,495
Feebas,WATER,"0.6 m, 7.4 kg","Swift Swim,Oblivious,Adaptability",20,15,20,10,55,80,200
Milotic,WATER,"6.2 m, 162 kg","Marvel Scale,Competitive,Cute Charm",95,60,79,100,125,81,540
Castform,NORMAL,"0.3 m, 0.8 kg",Forecast,70,70,70,70,70,70,420
Castform-Sunny,FIRE,"0.3 m, 0.8 kg",Forecast,70,70,70,70,70,70,420
Castform-Rainy,WATER,"0.3 m, 0.8 kg",Forecast,70,70,70,70,70,70,420
Castform-Snowy,ICE,"0.3 m, 0.8 kg",Forecast,70,70,70,70,70,70,420
Kecleon,NORMAL,"1 m, 22 kg","Color Change,Protean",60,90,70,60,120,40,440
Shuppet,GHOST,"0.6 m, 2.3 kg","Insomnia,Frisk,Cursed Body",44,75,35,63,33,45,295
Banette,GHOST,"1.1 m, 12.5 kg","Insomnia,Frisk,Cursed Body",64,115,65,83,63,65,455
Banette-Mega,GHOST,"1.2 m, 13 kg",Prankster,64,165,75,93,83,75,555
Duskull,GHOST,"0.8 m, 15 kg","Levitate,Frisk",20,40,90,30,90,25,295
Dusclops,GHOST,"1.6 m, 30.6 kg","Pressure,Frisk",40,70,130,60,130,25,455
Tropius,"GRASS,FLYING","2 m, 100 kg","Chlorophyll,Solar Power,Harvest",99,68,83,72,87,51,460
Chimecho,PSYCHIC,"0.6 m, 1 kg",Levitate,75,50,80,95,90,65,455
Absol,DARK,"1.2 m, 47 kg","Pressure,Super Luck,Justified",65,130,60,75,60,75,465
Absol-Mega,DARK,"1.2 m, 49 kg",Magic Bounce,65,150,60,115,60,115,565
Wynaut,PSYCHIC,"0.6 m, 14 kg","Shadow Tag,Telepathy",95,23,48,23,48,23,260
Snorunt,ICE,"0.7 m, 16.8 kg","Inner Focus,Ice Body,Moody",50,50,50,50,50,50,300
Glalie,ICE,"1.5 m, 256.5 kg","Inner Focus,Ice Body,Moody",80,80,80,80,80,80,480
Glalie-Mega,ICE,"2.1 m, 350.2 kg",Refrigerate,80,120,80,120,80,100,580
Spheal,"ICE,WATER","0.8 m, 39.5 kg","Thick Fat,Ice Body,Oblivious",70,40,50,55,50,25,290
Sealeo,"ICE,WATER","1.1 m, 87.6 kg","Thick Fat,Ice Body,Oblivious",90,60,70,75,70,45,410
Walrein,"ICE,WATER","1.4 m, 150.6 kg","Thick Fat,Ice Body,Oblivious",110,80,90,95,90,65,530
Clamperl,WATER,"0.4 m, 52.5 kg","Shell Armor,Rattled",35,64,85,74,55,32,345
Huntail,WATER,"1.7 m, 27 kg","Swift Swim,Water Veil",55,104,105,94,75,52,485
Gorebyss,WATER,"1.8 m, 22.6 kg","Swift Swim,Hydration",55,84,105,114,75,52,485
Relicanth,"WATER,ROCK","1 m, 23.4 kg","Swift Swim,Rock Head,Sturdy",100,90,130,45,65,55,485
Luvdisc,WATER,"0.6 m, 8.7 kg","Swift Swim,Hydration",43,30,55,40,65,97,330
Bagon,DRAGON,"0.6 m, 42.1 kg","Rock Head,Sheer Force",45,75,60,40,30,50,300
Shelgon,DRAGON,"1.1 m, 110.5 kg","Rock Head,Overcoat",65,95,100,60,50,50,420
Salamence,"DRAGON,FLYING","1.5 m, 102.6 kg","Intimidate,Moxie",95,135,80,110,80,100,600
Salamence-Mega,"DRAGON,FLYING","1.8 m, 112.6 kg",Aerilate,95,145,130,120,90,120,700
Beldum,"STEEL,PSYCHIC","0.6 m, 95.2 kg","Clear Body,Light Metal",40,55,80,35,60,30,300
Metang,"STEEL,PSYCHIC","1.2 m, 202.5 kg","Clear Body,Light Metal",60,75,100,55,80,50,420
Metagross,"STEEL,PSYCHIC","1.6 m, 550 kg","Clear Body,Light Metal",80,135,130,95,90,70,600
Metagross-Mega,"STEEL,PSYCHIC","2.5 m, 942.9 kg",Tough Claws,80,145,150,105,110,110,700
Regirock,ROCK,"1.7 m, 230 kg","Clear Body,Sturdy",80,100,200,50,100,50,580
Regice,ICE,"1.8 m, 175 kg","Clear Body,Ice Body",80,50,100,100,200,50,580
Registeel,STEEL,"1.9 m, 205 kg","Clear Body,Light Metal",80,75,150,75,150,50,580
Latias,"DRAGON,PSYCHIC","1.4 m, 40 kg",Levitate,80,80,90,110,130,110,600
Latias-Mega,"DRAGON,PSYCHIC","1.8 m, 52 kg",Levitate,80,100,120,140,150,110,700
Latios,"DRAGON,PSYCHIC","2 m, 60 kg",Levitate,80,90,80,130,110,110,600
Latios-Mega,"DRAGON,PSYCHIC","2.3 m, 70 kg",Levitate,80,130,100,160,120,110,700
Kyogre,WATER,"4.5 m, 352 kg",Drizzle,100,100,90,150,140,90,670
